trial_id,config,weight_varied,multiplier,w_D,w_M,w_H,w_R,w_S,success,makespan_s,intimate_exposure_ticks,discomfort_integral,replans
15,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,35.45,0,0.023,472
16,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,45.2,0,0.003,404
17,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,39.85,0,0.012,473
18,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,36.85,0,0.024,472
19,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,35.35,0,0.005,463
20,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,39.8,0,0.051,511
21,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,27.0,0,0.065,383
22,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,36.4,0,0.0,400
23,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,43.0,0,0.006,396
24,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,52.75,0,0.217,554
25,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,49.3,0,0.013,405
26,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,83.7,0,0.067,752
27,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,43.0,0,0.013,362
28,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,53.9,0,0.138,571
29,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,33.5,0,0.022,413
30,w_Mx0.5,w_M,0.5,1.0,0.75,2.0,1.0,1.2,1,110.8,0,0.018,847
1,w_Mx0.75,w_M,0.75,1.0,1.125,2.0,1.0,1.2,1,36.5,0,0.003,475
2,w_Mx0.75,w_M,0.75,1.0,1.125,2.0,1.0,1.2,1,37.75,0,0.001,377
3,w_Mx0.75,w_M,0.75,1.0,1.125,2.0,1.0,1.2,1,37.75,0,0.001,386
4,w_Mx0.75,w_M,0.75,1.0,1.125,2.0,1.0,1.2,1,36.95,0,0.0,426
